    written, MiB/s:               220.45
    written, MiB/s:               229.37
    written, MiB/s:               221.34
    written, MiB/s:               228.09
    written, MiB/s:               231.13
    written, MiB/s:               228.90
    written, MiB/s:               231.45
    written, MiB/s:               227.03
    written, MiB/s:               229.01
    written, MiB/s:               228.58
    written, MiB/s:               227.25
    written, MiB/s:               230.14
    written, MiB/s:               227.96
    written, MiB/s:               227.74
    written, MiB/s:               228.80
    written, MiB/s:               229.00
    written, MiB/s:               226.92
    written, MiB/s:               228.49
    written, MiB/s:               226.35
    written, MiB/s:               226.07
    written, MiB/s:               222.56
    written, MiB/s:               226.58
    written, MiB/s:               227.96
    written, MiB/s:               223.98
    written, MiB/s:               228.30
    written, MiB/s:               226.80
    written, MiB/s:               230.26
    written, MiB/s:               230.04
    written, MiB/s:               229.66
    written, MiB/s:               230.20
