    read, MiB/s:                  37.26
    read, MiB/s:                  66.04
    read, MiB/s:                  66.07
    read, MiB/s:                  28.80
    read, MiB/s:                  57.59
    read, MiB/s:                  86.38
    read, MiB/s:                  54.92
    read, MiB/s:                  58.89
    read, MiB/s:                  87.70
    read, MiB/s:                  46.20
    read, MiB/s:                  84.82
    read, MiB/s:                  70.71
    read, MiB/s:                  52.15
    read, MiB/s:                  80.96
    read, MiB/s:                  46.97
    read, MiB/s:                  75.77
    read, MiB/s:                  47.08
    read, MiB/s:                  57.71
    read, MiB/s:                  86.51
    read, MiB/s:                  49.00
    read, MiB/s:                  88.80
    read, MiB/s:                  76.84
    read, MiB/s:                  56.99
    read, MiB/s:                  85.32
    read, MiB/s:                  50.53
    read, MiB/s:                  79.33
    read, MiB/s:                  67.47
    read, MiB/s:                  65.10
    read, MiB/s:                  66.96
    read, MiB/s:                  82.87
