    written, MiB/s:               30.24
    written, MiB/s:               29.80
    written, MiB/s:               28.28
    written, MiB/s:               25.19
    written, MiB/s:               25.23
    written, MiB/s:               25.38
    written, MiB/s:               25.25
    written, MiB/s:               25.20
    written, MiB/s:               25.22
    written, MiB/s:               25.20
    written, MiB/s:               25.31
    written, MiB/s:               25.26
    written, MiB/s:               25.19
    written, MiB/s:               25.25
    written, MiB/s:               25.24
    written, MiB/s:               25.27
    written, MiB/s:               25.17
    written, MiB/s:               25.26
    written, MiB/s:               25.21
    written, MiB/s:               25.31
    written, MiB/s:               25.30
    written, MiB/s:               25.23
    written, MiB/s:               25.28
    written, MiB/s:               25.24
    written, MiB/s:               25.21
    written, MiB/s:               25.29
    written, MiB/s:               25.18
    written, MiB/s:               25.24
    written, MiB/s:               25.18
    written, MiB/s:               25.31
